area,value
Otara-Tirohanga,1210
Oponae,340
East Cape,1450
Waipaoa,2030
Ruatoria-Raukumara,1300
Tokomaru,1000
Hangaroa,1580
Wharekaka,1930
Te Arai,1160
Hexton,3030
Lytton,1390
Makaraka-Awapuni,1000
Riverdale,1320
Te Hapara North,2090
Mangapapa North,1480
Elgin,2710
Te Hapara South,2280
Mangapapa East,1230
Mangapapa South,2020
Te Hapara East,2070
Centennial Crescent,1660
Whataupoko East,1870
Whataupoko West,2120
Gisborne Central,320
Kaiti North,2270
Kaiti South,3240
Outer Kaiti,2700
Tamarau,2500
Wainui-Okitu,1780
Maungataniwha-Raupunga,1230
Inland water Lake Waikaremoana,0
Frasertown-Ruakituri,900
Whakaki,710
Wairoa,4730
Mahia,1160
Puketitiri-Tutira,1900
Sherenden-Crownthorpe,1350
Maraekakaho,1420
Puketapu-Eskdale,2750
Omahu-Pakowhai,1490
Bridge Pa,1190
Twyford,830
Poukawa,1410
Flaxmere West,2820
Omahu Strip,180
Lochain Park,3120
Flaxmere Park,2750
Flaxmere South,2940
Irongate,360
Frimley,2960
Camberley,2340
Clive,2310
St Leonards,2780
Mahora,2640
Raureka,3190
Cornwall Park,3180
Tomoana,320
Longlands-Pukahu,1980
Raceway Park,2000
Karamu,1350
Hastings Central,470
Tomoana Crossing,2590
Akina Park,2410
Queens Square,2030
Mayfair,3070
Parkhaven,3000
Parkvale,2220
Mangateretere,1180
Haumoana-Te Awanga,2000
Lucknow,1520
Karanema-St Hill,1970
Havelock North-Central,460
Brookvale,2500
Iona,2740
Hereworth,2950
Te Mata Hills,1000
Havelock Hills,1560
Kahuranaki,1460
Bay View,2300
Poraiti Hills,750
Poraiti Flat,1310
Westshore,1180
Inlet Napier city,0
Onekawa West,290
Ahuriri,1180
Taradale West,1890
Greenmeadows West,2050
Taradale South,2720
Bluff Hill,2720
Hospital Hill,2980
Tamatea West,2060
Tamatea North,1740
Taradale Central,2650
Tamatea East,1800
Marewa West,1780
Greenmeadows Central,1510
Onekawa Central,1560
Pirimai West,1660
Napier Central,460
Greenmeadows South,2120
Nelson Park,2260
Bledisloe Park,2390
Pirimai East,2320
Onekawa East,1710
Tareha Reserve,3090
Marewa East,3500
Onekawa South,3310
McLean Park,2650
Maraenui,3690
Meeanee-Awatoto,2620
Mangaonuku,990
Makaretu,2540
Waipawa,2160
Waipukurau West,2600
Mangarara,2490
Waipukurau East,1930
Taurekaitai,1960
Port Taranaki,10
Spotswood,3770
Omata,960
Oakura,1590
Moturoa,1890
Kaitake,1990
Blagdon-Lynmouth,2610
Kawaroa,2440
New Plymouth Central,1160
Marfell,1730
Whalers Gate,2330
Strandon,2600
Westown,4560
Bell Block West,4420
Bell Block East,2900
Waiwhakaiho-Bell Block South,110
Lower Vogeltown,2940
Hurdon,2300
Frankleigh Park,3090
Merrilands,3020
Ferndale,760
Welbourn,3370
Fitzroy-Glen Avon,3620
Waitara West,4140
Upper Vogeltown,2810
Highlands Park (New Plymouth district),3380
Paraite,780
Waitara East,3010
Lepperton-Brixton,1780
Mangorei,2040
Mount Messenger,880
Mangaoraka,1860
Tikorangi,1960
Everett Park,2250
Inglewood,3640
Tarata,590
Pembroke,1580
Douglas,690
Toko,1390
Stratford North,1980
Whangamomona,130
Stratford Central,2120
Stratford South,1820
Cape Egmont,2120
Taungatara,1380
Opunake,1440
Kaponga-Mangatoki,1330
Manaia-Kapuni,1590
Eltham,2000
Okaiawa,1210
Te Roti-Moeroa,800
Egmont Showgrounds,1770
Normanby-Tawhiti,1800
Ohangai,560
Turuturu,1970
King Edward Park,1550
Ramanui,2100
Hawera Central,2690
Mangawhio,750
Manutahi-Waitotora,2050
Patea,1230
Otangiwai-Ohura,1050
Ngapuke,1300
Taumarunui North,1720
Taumarunui Central,1540
Taumarunui East,1590
National Park,1090
Tangiwai,1330
Raetihi,1060
Ohakune,1270
Waiouru,800
Upper Whanganui,1200
Mowhanau,1330
Brunswick-Papaiti,1410
Castlecliff West,1650
Otamatea (Whanganui district),1760
Castlecliff East,2000
Springvale North,350
Lower Aramoho,1960
St Johns Hill East,1180
St Johns Hill West,2260
Titoki,3040
Springvale West,1620
Springvale East,1490
Upper Aramoho,2160
Balgownie,120
Laird Park,2330
Wembley Park,1760
College Estate,1330
Whanganui East-Williams Domain,2330
Gonville West,1770
Gonville North,2650
Cornmarket,1400
Whanganui East-Riverlands,2240
Kaitoke-Fordell,1820
Whanganui Central,640
Gonville South,2080
Bastia-Durie Hill,2200
Putiki,680
Mokai Patea,1760
Ngamatea,20
Turakina,1310
Otairi,1310
Taihape,1760
Marton Rural,1020
Marton North,3090
Parewanui,880
Marton South,2290
Bulls,2000
Kiwitea,1570
Tokorangi,2110
Ohakea-Sanson,1410
Oroua Downs,1290
Awahuri,2030
Pohangina-Apiti,1270
Mount Taylor,580
Taikorea,1330
Makino,3160
Sandon,2220
Kimbolton North,3130
Warwick,1530
Kimbolton West,2630
Feilding Central,1040
Kimbolton South,2180
Kauwhata,2020
Taonui,1640
Newbury,1970
Palmerston North Airport,330
Milson North,2530
Cloverlea (Palmerston North city),1960
Tremaine,490
Milson South,3090
Whakarongo,1680
Westbrook,3120
Takaro North,3450
Pioneer West,270
Palmerston North Hospital,2670
Highbury East,3110
Park West,1970
Takaro South,2580
Roslyn (Palmerston North city),2490
Kelvin Grove West,2730
Kelvin Grove North,2320
Papaioea North,2600
Palmerston North Central,1220
Awapuni North,3660
Terrace End,3630
Maraetarata,1480
Papaioea South,2040
Royal Oak (Palmerston North city),2430
West End,3000
Awapuni South,3480
Milverton,2050
Ruamahanga,2810
Esplanade,2220
Hokowhitu Central,2440
Hokowhitu East,3240
Turitea,470
Ruahine,1630
Linton Camp,1780
Ashhurst,3030
Hokowhitu South,2060
Aokautere,790
Pihauatua,1270
Aokautere Rural,710
Poutoa,3480
Norsewood,1650
Papatawa,1340
Mangatainoka,1800
Woodville,1590
Dannevirke West,2200
Dannevirke East,3470
Waitahora,620
Kaitawa,640
Pahiatua,2760
Nireaha-Eketahuna,1610
Owhanga,770
Mara,0
Kere Kere,940
Foxton Beach,1950
Foxton North,1440
Foxton South,1830
Waitarere,2210
Waikawa (Horowhenua district),780
Miranui,1870
Donnelly Park,1220
Ohau-Manakau,2230
Kawiu South,2510
Makomako,1470
Kawiu North,1830
Levin Central,1100
Tararua,1220
Shannon,1470
Queenwood (Horowhenua district),2150
Playford Park,1890
Fairfield (Horowhenua district),1500
Taitoko,1980
Waiopehu,1490
Makahika,990
Kimberley,460
Kapiti Island,0
Otaki Beach,1880
Forest Lakes (Kapiti Coast district),680
Otaki,3610
Te Horo,1450
Waitohu,1040
Waikanae Beach,3360
Peka Peka,630
Paraparaumu Beach North,4180
Paraparaumu Beach West,2450
Waikanae Park,2110
Paraparaumu Beach East,2720
Otaihanga,830
Paraparaumu North,3650
Waikanae West,4460
Otaki Forks,790
Paraparaumu Central,4110
Maungakotukutuku,1380
Raumati Beach West,2950
Waikanae East,2440
Tararua Forest Park,0
Raumati Beach East,2420
Paraparaumu East,2340
Raumati South,3870
Paekakariki,1800
Mana Island,0
Pukerua Bay,2040
Paekakariki Hill,380
Plimmerton,2200
Titahi Bay North,2800
Titahi Bay South,3910
Elsdon-Takapuwahia,2520
Pauatahanui,990
Onepoto,1970
Camborne,2070
Inlet Porirua Harbour,0
Paremata,2550
Porirua Central,280
Papakowhai,2350
Aotea,3280
Postgate,2860
Ascot Park,3000
Whitby,3110
Porirua East,2380
Endeavour,4750
Cannons Creek North,3650
Waitangirua,4630
Ranui Heights,1370
Cannons Creek East,4080
Cannons Creek South,1680
Akatarawa,660
Riverstone Terraces,1850
Heretaunga,2560
Birchville-Brown Owl,3630
Poets Block,2570
Brentwood (Upper Hutt city),2320
Silverstream (Upper Hutt city),3630
Elderslea,3510
Trentham North,3190
Totara Park,2990
Trentham South,1860
Mangaroa,2080
Ebdentown,2570
Wallaceville,2470
Maoribank,3430
Te Marua,1010
Pinehaven,2040
Clouston Park,2370
Upper Hutt Central,640
Belmont Park,340
Maungaraki,4130
Korokoro,1540
Kelson,2920
Normandale,2070
Belmont (Lower Hutt city),2790
Petone Central,1000
Tirohanga,1320
Manor Park,430
Alicetown-Melling,2940
Taita North,3240
Boulcott,2700
Hutt Central North,1020
Mount Wellington North West,3270
Panmure Glen Innes Industrial,360
Onehunga-Te Papapa Industrial,930
Te Papapa,3400
Stonefields East,1890
Glen Innes East-Wai O Taiki Bay,3610
Penrose,930
Mount Wellington North East,2170
Mangere Bridge Ambury,3610
Mount Wellington Ferndale,4440
Point England,5150
Bucklands Beach North,3130
Mount Wellington East,2840
Mount Wellington West,3140
Panmure West,260
Mangere Bridge,3150
Oneroa East-Palm Beach,1320
Tamaki,4520
Panmure East,3650
Mount Wellington Central,5130
Bays Waiheke Island,0
Sylvia Park,140
Mangere Mountain View,3930
Surfdale,2130
Mount Wellington Industrial,30
Half Moon Bay West,2960
Auckland Airport,660
Eastern Beach,2280
Sunnyhills West-Pakuranga North,3620
Favona North,2890
Bucklands Beach Central,1950
Farm Cove,2700
Mangere North,2480
Favona West,3280
Ostend,1960
Half Moon Bay North East,2260
Mangere West,4550
Pakuranga West,4610
Mount Wellington South West,2560
Sunnyhills East,3580
Half Moon Bay South East,3340
Favona East,4070
Mount Wellington South East,3010
Otahuhu Industrial,90
Bucklands Beach South,4440
Pakuranga Central,3600
Awhitu,3000
Harania North,4010
Otahuhu Central,1470
Mangere Central,3810
Otahuhu North,4110
Howick West,4260
Pakuranga Heights North West,2960
Mellons Bay,4160
Pakuranga Heights East,3300
Sutton Park,4040
Otahuhu East,2450
Mangere South,3770
Onetangi,1340
Harania South,3570
Highland Park (Auckland),4760
Otahuhu South West,4110
Pakuranga Heights South West,3620
Mangere Mascot,3900
Waiheke East,1100
Massey Road West,3980
Otahuhu South,3880
Howick Central,3530
Massey Road North,3380
Botany Downs West,2980
East Tamaki,350
Howick East,3770
Burswood,1800
Massey Road South,1870
Middlemore,30
Mangere South East,3980
Botany Downs East,2410
Grange,2330
Golflands,2590
Aorere North,1790
Mangere East,4150
Cockle Bay,4370
Otara West,3570
Aorere Central,2170
Northpark North,3070
Somerville,4730
Northpark South,2290
Papatoetoe North,5120
Dingwall,3600
Aorere South,5240
Shelly Park,2960
Otara Central,2890
Huntington Park,2000
Botany Central,10
Botany North,2680
Papatoetoe West,5050
Papatoetoe Central,5450
Sunkist Bay,3330
Otara East,4220
Redcastle,2620
Botany East,2010
Botany South,3050
Manukau Central,840
Papatoetoe East,4630
Otara South,3980
Ferguson,4670
Papatoetoe South West,3980
Botany Junction,200
Dannemora North,2610
Papatoetoe South,4280
East Tamaki Heights,2910
Te Puru,3150
Puhinui North,4100
Dannemora South,2880
Puhinui South,2670
Rongomai West,2590
Baverstock,4330
Puhinui East,2850
Turanga,3130
Rongomai East,2420
Ormiston North,2340
Maraetai,2440
Chapel Downs,3620
Wiri West,1230
Clover Park North,4950
Mission Heights North,3640
Clover Park South,4490
Donegal Park,2840
Ormiston South,6070
Mission Heights South,3030
Hilltop (Auckland),3650
Wiri East,4380
Goodwood Heights,4660
Ormiston East,970
Clendon Park North,3550
Burbank,4210
Tuscany Heights,1520
Totara Heights,2890
Homai East,3610
Homai West,4830
The Gardens (Auckland),4090
Clarks Beach,1490
Clendon Park West,3450
Hillpark North,2560
Clendon Park East,2410
Karaka Creek,1590
Rowandale West,3690
Rowandale East,4040
Manurewa Central,3910
Weymouth North,5190
Hillpark South,3380
Alfriston,3960
Weymouth East,3930
Leabank,4570
Weymouth South,3710
Manurewa East,3060
Manurewa South,4160
Randwick Park East,2690
Wattle Downs West,3940
Wattle Downs North,2590
Randwick Park West,3870
Kingseat-Karaka,3000
Wattle Downs East,2310
Takanini North,2640
Takanini Industrial,50
Conifer Grove West,2520
Conifer Grove East,2350
Takanini West,3090
Takanini South,4770
Takanini Central,1230
Ardmore,1440
Glenbrook,2260
Hingaia,2290
Takanini South East,1550
Kawakawa Bay-Orere,2040
Papakura West,1870
Clevedon,1560
Papakura North,4450
Pahurehure,3410
Papakura Central,3370
Papakura North East,2660
Karaka Lakes,2300
Papakura Kelvin,4820
Papakura Massey Park,3040
Rosehill,4280
Patumahoe,2420
Papakura East,3430
Opaheke,2990
Papakura Industrial,220
Red Hill,2960
Drury,1260
Tamakae,2560
Hamilton Estate,2610
Drury Rural,2890
Waiuku Central,1360
Waiuku East,1890
Kendallvale,1090
Puni,1650
Ramarama,2060
Hunua,1390
Pukekohe North West,4920
Anselmi Ridge,2510
Pukekohe West,5250
Cape Hill,1620
Rosa Birch Park,2140
Rooseville Park,2680
Cloverlea (Auckland),2490
Pukekohe Central,400
Pukekohe Hospital,1700
Buckland,1210
Bombay Hills,2060
Ararimu,2180
Colville,1520
Islands Thames-Coromandel district,10
Coromandel,1790
Inlets Thames-Coromandel district,0
Mercury Bay North,1660
Whitianga North,1530
Whitianga South,4100
Thames Coast,1780
Cooks Beach-Ferry Landing,470
Mercury Bay South,1250
Kauaeranga,610
Thames North,2020
Thames Central,1080
Thames South,3470
Hikuai,240
Totora-Kopu,900
Tairua,1500
Pauanui,1040
Matatoki-Puriri,1080
Whangamata Rural,450
Whangamata,4180
Miranda-Pukorokoro,870
Hauraki Plains North,1190
Hauraki Plains East,1400
Ngatea,1500
Hauraki Plains South,1600
Paeroa Rural,1900
Paeroa,4400
Waihi Rural,2210
Waihi North,1790
Waihi East,1430
Waihi South,2350
Aka Aka,3170
Mangatangi,1120
Tuakau Rural,1640
Tuakau North,3270
Onewhero,1650
Pokeno Rural,1590
Tuakau South,1940
Port Waikato-Waikaretu,800
Pokeno,2800
Pukekawa,1520
Maramarua,1840
Rangiriri,1380
Te Kauwhata West,500
Te Akau,2020
Inlets Waikato district,0
Te Kauwhata,1680
Huntly Rural,2260
Waerenga,930
Huntly West,3320
Huntly East,4980
Raglan,3390
Whitikahu,2050
Te Uku,1770
Whale Bay,1060
Taupiri-Lake Kainui,1920
Ngaruawahia North,2260
Ngaruawahia Central,3010
Ngaruawahia South,2040
Kainui-Gordonton,1800
Te Kowhai,2120
Whatawhata West,530
Horotiu,650
Horsham Downs,730
Whatawhata East,2840
Rotokauri,1060
Hamilton Park,1650
Eureka-Tauwhare,2180
Tamahere North,4270
Pukemoremore,2470
Tamahere South,2030
Tahuna-Mangateparu,1610
Mangaiti,1380
Tatuanui,1420
Tahuroa,1830
Morrinsville East,4940
Morrinsville West,3040
Te Aroha East,2590
Te Aroha West,2060
Waihou-Manawaru,1240
Waitoa-Ngarua,1210
Richmond Downs-Wardville,1320
Waharoa-Peria,1570
Okauia,1080
Hinuera,1180
Matamata North,3260
Matamata South,4750
Te Poi,860
Te Rapa North,190
Flagstaff North,3360
Rotokauri-Waiwhakareke,570
Flagstaff South,2940
Rototuna North,970
Pukete West,2340
Flagstaff East,3930
Rototuna Central,4970
Pukete East,2450
Te Manatu,3860
Rototuna South,4580
Te Rapa South,120
Saint Andrews West,2990
Saint Andrews East,2560
Queenwood (Hamilton city),2460
St James,2010
Crawshaw,3420
Huntington,2690
Western Heights (Hamilton city),3040
Nawton West,3810
Nawton East,4380
Chartwell,2660
Forest Lake (Hamilton city),2580
Chedworth,1900
Beerescourt,2300
Miropiko,3300
Porritt,2780
Dinsdale North,4550
Maeroa,3890
Dinsdale South,4130
Fairfield (Hamilton city),4610
Whitiora,2720
Enderley North,2650
Fairview Downs,3350
Temple View,1250
Swarbrick,2570
Kahikatea,3630
Frankton Junction,690
Kirikiriroa,290
Enderley South,2890
Ruakura,1230
Claudelands,3220
Hamilton Central,880
Hamilton Lake,3650
Peachgrove,3800
Hamilton East Village,3400
Hamilton West,1780
Greensboro,4110
Hamilton East Cook,2160
Melville North,2960
Hamilton East,4130
Melville South,2580
Deanwell,2230
Bader,2690
Hillcrest West (Hamilton city),2850
Hillcrest East (Hamilton city),3280
Silverdale (Hamilton city),2190
Glenview,2390
Resthill,2540
Fitzroy,2930
Riverlea,2880
Peacockes,360
Te Pahu,1480
Ngahinapouri,1720
Lake Cameron,1530
Lake Ngaroto,1200
Kaipaki,1630
Pirongia,1250
Hautapu Rural,720
Pokuru,1470
Te Rahu,1220
Fencourt,740
Hautapu,500
Karapiro,2410
Cambridge North,1830
Cambridge West,2550
Cambridge East,2900
Cambridge Park-River Garden,1290
Oaklands-St Kilda,1480
Pukerimu,930
Cambridge Central,890
Te Awamutu North,1130
Te Awamutu West,1370
Leamington West,1520
Goodfellow Park,1860
Leamington South,1820
Leamington Central,2500
Leamington East,2050
Te Awamutu Stadium,1810
Te Awamutu Central,410
Pekerau,2520
Fraser Street,1450
Sherwin Park,2020
St Leger,500
Rotoorangi,1740
Tokanui,450
Kihikihi Central,2400
Maungatautari,850
Rotongata,860
Inlets Otorohanga district,0
Pirongia Forest,1000
Hangatiki,1240
Aria,1320
Te Kuiti West,2690
Te Kuiti East,2060
Waipa Valley,1250
Tiroa,50
Marotiri,2480
Ohakuri,1900
Lake Taupo Bays,1610
Mapara,2000
Inland water Lake Taupo,0
Wairakei-Broadlands,1290
Acacia Bay,1700
Brentwood (Taupo district),1960
Nukuhau-Rangatira Park,2530
Taupo Central West,420
Tauhara,1880
Taupo Central East,2540
Mountview,2720
Bird Area,2310
Hilltop (Taupo district),2820
Waipahihi,2240
Richmond Heights,2410
Wharewaka,970
Kaimanawa,180
Waitahanui,840
Turangi,3580
Rangataiki,140
Taharua,60
Te More,0
Waiau,350
Waihi Beach-Bowentown,2570
Tahawai,1900
Athenree,840
Aongatete,3380
Katikati,5190
Inlet Tauranga Harbour North,0
Matakana Island,190
Pahoia,3310
Omokoroa,3320
Omokoroa Rural,770
Te Puna,2370
Minden,2220
Kaimai,2110
Kopurererua,1200
Kaitemako (Western Bay of Plenty district),1830
Waiorohi,2600
Otawa,2000
Te Puke West,3720
Rangiuru,2820
Te Puke East,5470
Avalon West,2720
Stokes Valley Central,2190
Taita South,3210
Petone East,4050
Hutt Central South,3320
Stokes Valley North,3550
Petone Esplanade,2750
Epuni West,3220
Avalon East,2600
Woburn,1830
Naenae Central,3570
Waterloo West,2370
Epuni East,3070
Gracefield,150
Moera,1700
Delaney,2710
Waiwhetu,4500
Waterloo East,3200
Naenae North,2640
Manuka,1780
Naenae South,2860
Towai,0
Arakura,2890
Eastern Bays,2130
Pencarrow,670
Wainuiomata West,3700
Glendale,4190
Wainuiomata Central,1860
Eastbourne,2790
Homedale East,3150
Homedale West,2730
Makara-Ohariu,980
Tawa North,3330
Linden,3370
Tawa South,3510
Tawa Central,2740
Grenada North,2360
Churton Park North,4010
Takapu-Horokiwi,280
Churton Park South,3520
Johnsonville West,3510
Grenada Village,1760
Johnsonville North,3360
Paparangi,2990
Ngaio North,2620
Johnsonville Central,2910
Broadmeadows,1690
Crofton Downs,1680
Johnsonville South,1720
Khandallah Reserve,2100
Karori Park,4730
Newlands North,4000
Ngaio South,3140
Newlands South,4130
Woodridge,1680
Karori North,2680
Khandallah North,2790
Wilton,2260
Khandallah South,2040
Wadestown,3870
Karori South,4660
Onslow,1880
Karori East,3650
Pipitea-Kaiwharawhara,1010
Northland (Wellington city),3710
Thorndon,4270
Wellington Botanic Gardens,1210
Kelburn,2270
Aro Valley,3980
Wellington University,1610
Wellington Central,3270
Brooklyn North,2290
Dixon Street,4510
Vivian West,3760
Courtenay,1910
Brooklyn East,2820
Mount Cook West,4530
Vivian East,2550
Brooklyn South,1860
Oriental Bay,1480
Mount Cook East,2820
Mount Victoria,4770
Roseneath,1860
Owhiro Bay,2070
Kingston-Mornington-Vogeltown,3260
Newtown North,2210
Newtown West,3620
Hataitai North,4200
Evans Bay,1160
Berhampore,4010
Hataitai South,1510
Maupuia,1640
Newtown South,3820
Kilbirnie Central,2780
Island Bay West,3470
Melrose,1350
Island Bay East,3630
Miramar North,1390
Kilbirnie East,2250
Lyall Bay,2760
Miramar Central,2040
Southgate,1200
Karaka Bay-Worser Bay,1540
Houghton Bay,1720
Miramar East,3080
Miramar South,3640
Rongotai,50
Strathmore (Wellington city),3940
Seatoun,2410
Kopuaranga,950
Upper Plain,1260
Opaki,1180
Ngaumutawa,1530
Solway North,2420
Lansdowne West,1660
Masterton Central,740
Kuripuni,1700
Douglas Park,2070
Solway South,3600
Lansdowne East,2790
Cameron and Soldiers Park,2230
Whareama,1460
Homebush-Te Ore Ore,1090
McJorrow Park,1710
Mount Holdsworth,1860
Carterton North,2590
Kokotau,1250
Carterton South,2910
Gladstone (Carterton district),900
Tauherenikau,1400
Kahutara,1060
Featherston,2570
Inland water Lake Wairarapa,0
Greytown,2530
Aorangi Forest,1530
Martinborough,1830
Oceanic Three Kings Islands,0
Three Kings Islands,0
Oceanic Northland Region,0
Inlet Doubtless Bay,0
Inlet Kaipara Harbour North,0
Oceanic Waikato Region East,0
Inlets Waikato Region,0
Oceanic Waikato Region West,0
Oceanic Bay of Plenty Region,0
Islands Bay of Plenty Region,30
Oceanic Taranaki Region,0
Inlet Port Taranaki,0
Oceanic Gisborne Region,0
Oceanic Manawatu-Whanganui Region West,0
Oceanic Hawke's Bay Region,0
Inlet Port Napier,0
Oceanic Wellington Region,0
Inlet Wellington Harbour,0
Bare Island,0
Oceanic Manawatu-Whanganui Region East,0
Oceanic Tasman Region,0
Golden Bay/Mohua,2510
Inlets Golden Bay,0
Takaka,1380
Pohara-Abel Tasman,1530
Takaka Hills,1230
Kaiteriteri-Riwaka,1830
Upper Moutere,2020
Lower Moutere,1740
Motueka North,2570
Motueka West,2620
Motueka East,3080
Inlets Motueka,0
Golden Downs,1890
Moutere Hills,3300
Ruby Bay-Mapua,2650
Murchison-Nelson Lakes,1330
Inlet Waimea West,0
Islands Tasman district,100
Waimea West,1170
Appleby,810
Wakefield,2510
Richmond West (Tasman district),930
Wakefield Rural,1290
Brightwater,2190
Hope,950
Richmond Central (Tasman district),1910
Ben Cooper Park,2440
Richmond South (Tasman district),630
Wilkes Park,2360
Templemore,2040
Easby Park,2850
Fairose,1670
Aniseed Valley,500
Nelson Rural,1970
Inlets Nelson city,60
Marybank,1100
Port Nelson,50
Nelson Airport,100
Tahunanui,2840
Britannia,1840
Atawhai,2870
Broadgreen-Monaco,2440
Washington,2990
Tahuna Hills,2950
Nelson Central-Trafalgar,730
The Wood,3010
Toi Toi,1740
Nayland,1960
Aldinga,3250
Victory,1680
Rutherford,2670
Maitlands,2240
Maitai,1420
Grampians,2520
Saxton,60
Suffolk,2760
Omaio,3490
Enner Glynn,3010
Daelyn,880
The Brook,2060
Marlborough Sounds West,2030
Marlborough Sounds Coastal Marine,20
Marlborough Sounds East,1980
Upper Wairau,1980
Waikawa (Marlborough district),1540
Waitohi (Marlborough district),3110
Tuamarina,1280
Awatere,1670
Renwick,2480
Lower Wairau,1240
Woodbourne,2190
Spring Creek-Grovetown,1090
Springlands,3400
Yelverton,2670
Mayfield,1740
Whitney West,2740
Blenheim Central,1190
Riversdale-Islington,2410
Whitney East,2470
Redwoodtown West,2680
Witherlea West,2660
Redwoodtown East,2810
Riverlands,490
Witherlea East,2870
Inlet Wairau River,0
Kaikoura Ranges,1750
Kaikoura,2300
Karamea,740
Inlets Buller district,0
Westport North,1950
Westport Rural,1290
Westport South,2570
Buller Coalfields,940
Charleston (Buller district),540
Inangahua,890
Reefton,940
Barrytown,970
Runanga,1220
Cobden,1600
Blaketown,840
Greymouth Central,1000
King Park,1100
Marsden,1270
Karoro,1050
Rutherglen-Camerons,1360
Greymouth Rural,710
Dobson,840
Nelson Creek,690
Lake Brunner,1090
Haast,270
Westland Glaciers-Bruce Bay,1120
Arahura-Kumara,1260
Hokitika,2960
Inlets Westland district,0
Hokitika Rural,1460
Waitaha,460
Whataroa-Harihari,660
Hokitika Valley-Otira,650
Hanmer Range,280
Amuri,2310
Hanmer Springs,1030
Upper Hurunui,1510
Parnassus,1340
Ashley Forest,690
Omihi,1280
Balcairn,2410
Amberley,2110
Okuku,740
Ashley Gorge,1170
Oxford,2280
Starvation Hill-Cust,2290
Loburn,2230
Eyrewell,1870
West Eyreton,1500
Ashley-Sefton,2200
Fernside,1360
Rangiora North West,2180
Kingsbury,2850
Ashgrove,1590
Rangiora North East,1870
Oxford Estate,1360
Rangiora Central,40
Rangiora South West,2410
Lilybrook,3050
